,Num_Municipio,Municipio,Janeiro_Autoc,Fevereiro_Autoc,Março_Autoc
68,350610,Bebedouro,0,0,0
69,350620,Bento de Abreu,0,0,0
70,350630,Bernardino de Campos,0,0,0
71,350635,Bertioga,0,1,0
72,350640,Bilac,0,0,0
73,350650,Birigui,0,0,0
74,350660,Biritiba-Mirim,0,0,0
75,350670,Boa Esperança do Sul,0,0,0
76,350680,Bocaina,0,0,0
77,350690,Bofete,0,0,0
78,350700,Boituva,0,0,0
79,350710,Bom Jesus dos Perdões,0,0,0
80,350715,Bom Sucesso de Itararé,0,0,0
81,350720,Borá,0,0,0
82,350730,Boracéia,0,0,0
83,350740,Borborema,0,0,0
84,350745,Borebi,0,0,0
85,350750,Botucatu,0,0,0
86,350760,Bragança Paulista,0,0,0
87,350770,Braúna,0,1,0
88,350775,Brejo Alegre,0,0,0
89,350780,Brodósqui,0,0,0
90,350790,Brotas,0,0,0
91,350800,Buri,0,0,0
92,350810,Buritama,0,0,0
93,350820,Buritizal,0,0,0
94,350830,Cabrália Paulista,0,0,0
95,350840,Cabreúva,0,0,0
96,350850,Caçapava,0,0,0
97,350860,Cachoeira Paulista,0,0,0
98,350870,Caconde,0,0,0
99,350880,Cafelândia,0,0,0
100,350890,Caiabu,0,0,0
101,350900,Caieiras,0,0,0
102,350910,Caiuá,0,0,0
103,350920,Cajamar,0,0,0
104,350925,Cajati,0,1,0
105,350930,Cajobi,0,0,0
106,350940,Cajuru,0,0,0
107,350945,Campina do Monte Alegre,0,0,0
108,350950,Campinas,0,1,0
109,350960,Campo Limpo Paulista,0,0,0
110,350970,Campos do Jordão,0,0,0
111,350980,Campos Novos Paulista,0,0,0
112,350990,Cananéia,0,1,0
113,350995,Canas,0,0,0
114,351000,Cândido Mota,0,0,0
115,351010,Cândido Rodrigues,0,0,0
116,351015,Canitar,0,0,0
117,351020,Capão Bonito,0,0,0
118,351030,Capela do Alto,0,0,0
119,351040,Capivari,0,0,0
120,351050,Caraguatatuba,0,0,0
121,351060,Carapicuíba,0,0,0
122,351070,Cardoso,0,0,0
123,351080,Casa Branca,0,0,0
124,351090,Cássia dos Coqueiros,0,0,0
125,351100,Castilho,0,0,0
126,351110,Catanduva,0,0,0
127,351120,Catiguá,0,0,0
128,351130,Cedral,0,0,0
129,351140,Cerqueira César,0,0,0
130,351150,Cerquilho,0,0,0
131,351160,Cesário Lange,0,0,0
132,351170,Charqueada,0,0,0
133,351190,Clementina,0,0,0
134,351200,Colina,0,2,0
135,351210,Colômbia,0,0,0
136,351220,Conchal,0,0,0
137,351230,Conchas,0,0,0
138,351240,Cordeirópolis,0,0,1
139,351250,Coroados,0,0,0
140,351260,Coronel Macedo,0,0,1
141,351270,Corumbataí,1,0,0
142,351280,Cosmópolis,0,0,0
143,351290,Cosmorama,0,0,0
144,351300,Cotia,0,1,0
145,351310,Cravinhos,0,0,0
146,351320,Cristais Paulista,0,0,0
147,351330,Cruzália,0,0,0
148,351340,Cruzeiro,0,0,0
149,351350,Cubatão,0,0,0
150,351360,Cunha,0,0,0
151,351370,Descalvado,0,0,0
152,351380,Diadema,0,1,0
153,351385,Dirce Reis,0,0,0
154,351390,Divinolândia,0,0,0
155,351400,Dobrada,0,0,0
156,351410,Dois Córregos,0,0,0
157,351420,Dolcinópolis,0,0,0
158,351430,Dourado,0,0,0
159,351440,Dracena,0,0,0
160,351450,Duartina,0,0,0
161,351460,Dumont,0,0,0
162,351470,Echaporã,0,0,0
163,351480,Eldorado,0,0,0
164,351490,Elias Fausto,0,0,0
165,351492,Elisiário,0,0,0
166,351495,Embaúba,0,0,0
167,351500,Embu,1,0,0
168,351510,Embu-Guaçu,0,0,0
169,351512,Emilianópolis,0,0,0
170,351515,Engenheiro Coelho,0,0,0
171,351518,Espírito Santo do Pinhal,0,0,0
172,351519,Espírito Santo do Turvo,0,0,0
173,351520,Estrela d'Oeste,2,10,6
174,351530,Estrela do Norte,0,0,0
175,351535,Euclides da Cunha Paulista,0,0,0
176,351540,Fartura,0,0,0
177,351550,Fernandópolis,0,1,0
178,351560,Fernando Prestes,0,0,0
179,351565,Fernão,0,0,0
180,351570,Ferraz de Vasconcelos,0,0,0
181,351580,Flora Rica,0,0,0
182,351590,Floreal,0,0,0
183,351600,Flórida Paulista,0,0,0
184,351610,Florínia,0,0,0
185,351620,Franca,0,0,0
186,351630,Francisco Morato,0,0,0
187,351640,Franco da Rocha,1,0,0
188,351650,Gabriel Monteiro,0,0,0
189,351660,Gália,0,0,0
190,351670,Garça,0,0,0
191,351680,Gastão Vidigal,0,0,0
192,351685,Gavião Peixoto,0,0,0
193,351690,General Salgado,0,0,0
194,351700,Getulina,0,0,0
195,351710,Glicério,0,0,0
196,351720,Guaiçara,0,0,0
197,351730,Guaimbê,0,0,0
198,351740,Guaíra,0,0,0
199,351750,Guapiaçu,0,0,0
200,351760,Guapiara,0,0,0
201,351770,Guará,0,0,0
202,351780,Guaraçaí,0,0,0
203,351790,Guaraci,0,0,0
204,351800,Guarani d'Oeste,0,0,0
205,351810,Guarantã,0,0,0
206,351820,Guararapes,0,0,0
207,351830,Guararema,0,0,0
208,351840,Guaratinguetá,0,0,0
209,351850,Guareí,0,0,0
210,351860,Guariba,0,0,0
211,351870,Guarujá,4,6,6
212,351880,Guarulhos,3,2,0
213,351885,Guatapará,0,0,0
214,351890,Guzolândia,0,0,0
215,351900,Herculândia,0,0,0
216,351905,Holambra,0,0,0
217,351907,Hortolândia,0,0,0
218,351910,Iacanga,0,0,0
219,351920,Iacri,0,0,0
220,351925,Iaras,0,0,0
221,351930,Ibaté,0,0,0
222,351940,Ibirá,0,0,0
223,351950,Ibirarema,0,0,0
224,351960,Ibitinga,0,0,0
225,351970,Ibiúna,0,0,0
226,351980,Icém,0,0,0
227,351990,Iepê,0,0,0
228,352000,Igaraçu do Tietê,0,0,0
229,352010,Igarapava,1,1,0
230,352020,Igaratá,0,0,0
231,352030,Iguape,0,0,0
232,352040,Ilhabela,0,0,0
233,352042,Ilha Comprida,0,0,0
234,352044,Ilha Solteira,0,0,0
235,352050,Indaiatuba,0,0,0
236,352060,Indiana,0,0,0
237,352070,Indiaporã,0,0,0
238,352080,Inúbia Paulista,0,0,0
239,352090,Ipauçu,0,0,0
240,352100,Iperó,0,0,0
241,352110,Ipeúna,0,0,0
242,352115,Ipiguá,0,0,0
243,352120,Iporanga,0,0,0
244,352130,Ipuã,0,0,0
245,352140,Iracemápolis,0,0,0
246,352150,Irapuã,0,0,0
247,352160,Irapuru,0,0,0
248,352170,Itaberá,0,0,0
249,352180,Itaí,0,0,0
250,352190,Itajobi,0,0,0
251,352200,Itaju,0,0,0
252,352210,Itanhaém,1,0,0
253,352215,Itaóca,0,0,0
254,352220,Itapecerica da Serra,0,0,0
255,352230,Itapetininga,0,0,0
256,352240,Itapeva,0,0,0
257,352250,Itapevi,0,0,0
258,352260,Itapira,0,0,0
259,352265,Itapirapuã Paulista,0,0,0
260,352270,Itápolis,0,0,0
261,352280,Itaporanga,0,0,0
262,352290,Itapuí,0,0,0
263,352300,Itapura,0,0,0
264,352310,Itaquaquecetuba,0,0,0
265,352320,Itararé,0,0,0
266,352330,Itariri,0,0,0
267,352340,Itatiba,0,0,1
268,352350,Itatinga,0,0,0
269,352360,Itirapina,0,0,0
270,352370,Itirapuã,0,0,0
271,352380,Itobi,0,0,0
272,352390,Itu,0,0,0
273,352400,Itupeva,0,0,0
274,352410,Ituverava,0,0,0
275,352420,Jaborandi,0,0,0
276,352430,Jaboticabal,0,0,0
277,352440,Jacareí,0,0,0
278,352450,Jaci,0,0,0
279,352460,Jacupiranga,0,0,0
280,352470,Jaguariúna,0,0,0
281,352480,Jales,0,0,1
282,352490,Jambeiro,0,0,0
283,352500,Jandira,1,0,3
284,352510,Jardinópolis,0,0,0
285,352520,Jarinu,0,0,0
286,352530,Jaú,0,0,0
287,352540,Jeriquara,0,0,0
288,352550,Joanópolis,0,0,0
289,352560,João Ramalho,0,0,0
290,352570,José Bonifácio,0,0,0
291,352580,Júlio Mesquita,0,0,0
292,352585,Jumirim,0,0,0
293,352590,Jundiaí,0,0,0
294,352600,Junqueirópolis,0,0,0
295,352610,Juquiá,0,0,0
296,352620,Juquitiba,0,0,0
297,352630,Lagoinha,0,0,0
298,352640,Laranjal Paulista,0,0,0
299,352650,Lavínia,0,0,0
300,352660,Lavrinhas,0,0,0
301,352670,Leme,0,0,0
302,352680,Lençóis Paulista,0,0,0
303,352690,Limeira,0,1,0
304,352700,Lindóia,0,0,0
305,352710,Lins,0,0,0
306,352720,Lorena,0,0,0
307,352725,Lourdes,0,0,0
308,352730,Louveira,0,0,0
309,352740,Lucélia,0,0,0
310,352750,Lucianópolis,0,0,0
311,352760,Luís Antônio,0,0,0
312,352770,Luiziânia,0,0,0
313,352780,Lupércio,0,0,0
314,352790,Lutécia,0,0,0
315,352800,Macatuba,0,0,0
316,352810,Macaubal,0,0,0
317,352820,Macedônia,0,0,0
318,352830,Magda,0,0,0
319,352840,Mairinque,0,0,0
320,352850,Mairiporã,0,0,0
321,352860,Manduri,0,0,0
322,352870,Marabá Paulista,0,0,0
323,352880,Maracaí,0,0,0
324,352885,Marapoama,0,0,0
325,352890,Mariápolis,0,0,0
326,352900,Marília,1,0,0
327,352910,Marinópolis,0,0,0
328,352920,Martinópolis,0,0,0
329,352930,Matão,0,0,0
330,352940,Mauá,0,0,0
331,352950,Mendonça,0,0,0
332,352960,Meridiano,0,0,0
333,352965,Mesópolis,0,0,0
334,352970,Miguelópolis,0,0,0
335,352980,Mineiros do Tietê,0,0,0
336,352990,Miracatu,0,0,0
337,353000,Mira Estrela,0,0,0
338,353010,Mirandópolis,0,0,0
339,353020,Mirante do Paranapanema,0,0,0
340,353030,Mirassol,0,0,0
341,353040,Mirassolândia,0,0,0
342,353050,Mococa,0,0,0
343,353060,Moji das Cruzes,0,0,0
344,353070,Moji-Guaçu,0,0,0
345,353080,Moji-Mirim,0,0,0
346,353090,Mombuca,0,0,0
347,353100,Monções,0,0,0
348,353110,Mongaguá,0,0,1
349,353120,Monte Alegre do Sul,0,0,0
350,353130,Monte Alto,0,0,0
351,353140,Monte Aprazível,0,0,1
352,353150,Monte Azul Paulista,0,0,0
353,353160,Monte Castelo,0,0,0
354,353170,Monteiro Lobato,0,0,0
355,353180,Monte Mor,0,0,0
356,353190,Morro Agudo,0,0,0
357,353200,Morungaba,0,0,0
358,353205,Motuca,0,0,0
359,353210,Murutinga do Sul,0,0,0
360,353215,Nantes,0,0,0
361,353220,Narandiba,0,0,0
362,353230,Natividade da Serra,0,0,0
363,353240,Nazaré Paulista,0,0,0
364,353250,Neves Paulista,0,0,0
365,353260,Nhandeara,0,0,0
366,353270,Nipoã,0,0,0
367,353280,Nova Aliança,0,0,0
368,353282,Nova Campina,0,0,0
369,353284,Nova Canaã Paulista,0,0,0
370,353286,Nova Castilho,0,0,0
371,353290,Nova Europa,0,0,0
372,353300,Nova Granada,0,0,0
373,353310,Nova Guataporanga,0,0,0
374,353320,Nova Independência,0,0,0
375,353325,Novais,0,0,0
376,353330,Nova Luzitânia,0,0,0
377,353340,Nova Odessa,0,0,0
378,353350,Novo Horizonte,0,0,0
379,353360,Nuporanga,0,0,0
380,353370,Ocauçu,0,0,0
381,353380,Óleo,0,0,0
382,353390,Olímpia,0,0,0
383,353400,Onda Verde,0,0,0
384,353410,Oriente,0,0,0
385,353420,Orindiúva,0,0,0
386,353430,Orlândia,0,0,0
387,353440,Osasco,0,0,4
388,353450,Oscar Bressane,0,0,0
389,353460,Osvaldo Cruz,0,0,0
390,353470,Ourinhos,0,0,0
391,353475,Ouroeste,0,0,0
392,353480,Ouro Verde,0,0,0
393,353490,Pacaembu,0,0,0
394,353500,Palestina,0,0,0
395,353510,Palmares Paulista,0,0,0
396,353520,Palmeira d'Oeste,0,0,0
397,353530,Palmital,0,0,0
398,353540,Panorama,0,0,0
399,353550,Paraguaçu Paulista,0,0,0
400,353560,Paraibuna,0,0,0
401,353570,Paraíso,0,0,0
402,353580,Paranapanema,0,0,0
403,353590,Paranapuã,0,0,0
404,353600,Parapuã,0,0,0
405,353610,Pardinho,0,0,0
406,353620,Pariquera-Açu,0,0,0
407,353625,Parisi,0,0,0
408,353630,Patrocínio Paulista,0,0,0
409,353640,Paulicéia,0,0,0
410,353650,Paulínia,0,0,0
411,353657,Paulistânia,0,0,0
412,353660,Paulo de Faria,0,0,0
413,353670,Pederneiras,0,0,0
414,353680,Pedra Bela,0,0,0
415,353690,Pedranópolis,0,0,0
416,353700,Pedregulho,0,0,0
417,353710,Pedreira,0,0,0
418,353715,Pedrinhas Paulista,0,0,0
419,353720,Pedro de Toledo,0,0,0
420,353730,Penápolis,0,0,0
421,353740,Pereira Barreto,0,0,0
422,353750,Pereiras,0,0,0
423,353760,Peruíbe,0,1,1
424,353770,Piacatu,0,0,0
425,353780,Piedade,0,0,0
426,353790,Pilar do Sul,0,0,0
427,353800,Pindamonhangaba,0,0,0
428,353810,Pindorama,0,0,0
429,353820,Pinhalzinho,0,0,0
430,353830,Piquerobi,0,0,0
431,353850,Piquete,0,0,0
432,353860,Piracaia,0,0,0
433,353870,Piracicaba,0,0,0
434,353880,Piraju,1,0,0
435,353890,Pirajuí,0,0,0
436,353900,Pirangi,0,0,0
437,353910,Pirapora do Bom Jesus,0,0,0
438,353920,Pirapozinho,0,0,0
439,353930,Pirassununga,0,0,0
440,353940,Piratininga,0,1,0
441,353950,Pitangueiras,0,0,0
442,353960,Planalto,0,0,0
443,353970,Platina,0,0,0
444,353980,Poá,0,0,0
445,353990,Poloni,0,0,0
446,354000,Pompéia,0,0,0
447,354010,Pongaí,0,0,0
448,354020,Pontal,2,0,4
449,354025,Pontalinda,0,0,0
450,354030,Pontes Gestal,0,0,0
451,354040,Populina,0,0,0
452,354050,Porangaba,0,0,0
453,354060,Porto Feliz,0,0,0
454,354070,Porto Ferreira,0,0,1
455,354075,Potim,0,0,1
456,354080,Potirendaba,1,0,0
457,354085,Pracinha,0,0,0
458,354090,Pradópolis,0,0,0
459,354100,Praia Grande,1,2,0
460,354105,Pratânia,0,0,0
461,354110,Presidente Alves,0,0,0
462,354120,Presidente Bernardes,0,0,0
463,354130,Presidente Epitácio,0,0,0
464,354140,Presidente Prudente,0,0,0
465,354150,Presidente Venceslau,0,0,0
466,354160,Promissão,0,0,0
467,354165,Quadra,0,0,0
468,354170,Quatá,0,0,0
469,354180,Queiroz,0,0,0
470,354190,Queluz,0,0,0
471,354200,Quintana,0,0,0
472,354210,Rafard,0,0,0
473,354220,Rancharia,0,0,0
474,354230,Redenção da Serra,0,0,0
475,354240,Regente Feijó,0,0,0
476,354250,Reginópolis,0,0,0
477,354260,Registro,0,0,0
478,354270,Restinga,0,0,0
479,354280,Ribeira,0,0,0
480,354290,Ribeirão Bonito,0,0,0
481,354300,Ribeirão Branco,0,0,0
482,354310,Ribeirão Corrente,0,0,0
483,354320,Ribeirão do Sul,0,0,0
484,354323,Ribeirão dos Índios,0,0,0
485,354325,Ribeirão Grande,0,0,0
486,354330,Ribeirão Pires,0,0,0
487,354340,Ribeirão Preto,0,1,4
488,354350,Riversul,0,0,0
489,354360,Rifaina,0,0,0
490,354370,Rincão,0,0,0
491,354380,Rinópolis,0,0,0
492,354390,Rio Claro,0,0,0
493,354400,Rio das Pedras,0,0,0
494,354410,Rio Grande da Serra,0,0,0
495,354420,Riolândia,0,0,0
496,354425,Rosana,0,0,0
497,354430,Roseira,0,0,0
498,354440,Rubiácea,0,0,0
499,354450,Rubinéia,0,0,0
500,354460,Sabino,0,0,0
501,354470,Sagres,0,0,0
502,354480,Sales,0,0,0
503,354490,Sales Oliveira,0,0,0
504,354500,Salesópolis,0,0,0
505,354510,Salmourão,0,0,0
506,354515,Saltinho,0,0,0
507,354520,Salto,0,0,0
508,354530,Salto de Pirapora,0,0,0
509,354540,Salto Grande,0,0,0
510,354550,Sandovalina,0,0,0
511,354560,Santa Adélia,0,0,0
512,354570,Santa Albertina,0,0,0
513,354580,Santa Bárbara d'Oeste,0,0,0
514,354600,Santa Branca,0,0,0
515,354610,Santa Clara d'Oeste,0,0,0
516,354620,Santa Cruz da Conceição,0,0,0
517,354625,Santa Cruz da Esperança,0,0,0
518,354630,Santa Cruz das Palmeiras,0,0,0
519,354640,Santa Cruz do Rio Pardo,0,0,0
520,354650,Santa Ernestina,0,0,0
521,354660,Santa Fé do Sul,0,2,0
522,354670,Santa Gertrudes,0,0,0
523,354680,Santa Isabel,0,0,0
524,354690,Santa Lúcia,0,0,0
525,354700,Santa Maria da Serra,0,0,0
526,354710,Santa Mercedes,0,0,0
527,354720,Santana da Ponte Pensa,0,0,0
528,354730,Santana de Parnaíba,0,0,0
529,354740,Santa Rita d'Oeste,0,0,0
530,354750,Santa Rita do Passa Quatro,0,0,0
531,354760,Santa Rosa de Viterbo,0,0,0
532,354765,Santa Salete,0,0,0
533,354770,Santo Anastácio,0,0,0
534,354780,Santo André,0,0,1
535,354790,Santo Antônio da Alegria,0,0,0
536,354800,Santo Antônio de Posse,0,0,0
537,354805,Santo Antônio do Aracanguá,0,0,0
538,354810,Santo Antônio do Jardim,0,0,0
539,354820,Santo Antônio do Pinhal,0,0,0
540,354830,Santo Expedito,0,0,0
541,354840,Santópolis do Aguapeí,0,1,3
542,354850,Santos,6,4,3
543,354860,São Bento do Sapucaí,0,0,0
544,354870,São Bernardo do Campo,0,0,1
545,354880,São Caetano do Sul,0,0,0
546,354890,São Carlos,0,0,0
547,354900,São Francisco,0,0,0
548,354910,São João da Boa Vista,0,0,0
549,354920,São João das Duas Pontes,0,0,0
550,354925,São João de Iracema,0,0,0
551,354930,São João do Pau d'Alho,0,0,0
552,354940,São Joaquim da Barra,0,0,0
553,354950,São José da Bela Vista,0,0,0
554,354960,São José do Barreiro,0,0,0
555,354970,São José do Rio Pardo,0,0,0
556,354980,São José do Rio Preto,0,0,0
557,354990,São José dos Campos,2,1,0
558,354995,São Lourenço da Serra,0,0,0
559,355000,São Luís do Paraitinga,0,0,0
560,355010,São Manuel,0,0,0
561,355020,São Miguel Arcanjo,0,0,0
562,355030,São Paulo,1,6,12
563,355040,São Pedro,0,0,0
564,355050,São Pedro do Turvo,0,0,0
565,355060,São Roque,0,0,0
566,355070,São Sebastião,0,0,0
567,355080,São Sebastião da Grama,0,0,0
568,355090,São Simão,0,0,0
569,355100,São Vicente,9,7,4
570,355110,Sarapuí,0,0,0
571,355120,Sarutaiá,0,0,0
572,355130,Sebastianópolis do Sul,0,0,0
573,355140,Serra Azul,0,0,0
574,355150,Serrana,0,0,0
575,355160,Serra Negra,0,0,0
576,355170,Sertãozinho,1,2,2
577,355180,Sete Barras,0,0,0
578,355190,Severínia,0,0,0
579,355200,Silveiras,0,0,0
580,355210,Socorro,0,0,0
581,355220,Sorocaba,0,0,0
582,355230,Sud Mennucci,0,0,0
583,355240,Sumaré,0,0,0
584,355250,Suzano,0,0,0
585,355255,Suzanápolis,0,0,0
586,355260,Tabapuã,0,0,0
587,355270,Tabatinga,0,0,0
588,355280,Taboão da Serra,0,0,0
589,355290,Taciba,0,0,0
590,355300,Taguaí,0,0,0
591,355310,Taiaçu,0,0,0
592,355320,Taiúva,0,0,0
593,355330,Tambaú,0,0,0
594,355340,Tanabi,0,0,0
595,355350,Tapiraí,0,0,0
596,355360,Tapiratiba,0,0,0
597,355365,Taquaral,0,0,0
598,355370,Taquaritinga,0,0,0
599,355380,Taquarituba,0,0,0
600,355385,Taquarivaí,0,0,0
601,355390,Tarabaí,0,0,0
602,355395,Tarumã,0,0,0
603,355400,Tatuí,0,0,0
604,355410,Taubaté,0,0,0
605,355420,Tejupá,0,0,0
606,355430,Teodoro Sampaio,0,0,0
607,355440,Terra Roxa,0,0,0
608,355450,Tietê,0,0,0
609,355460,Timburi,0,0,0
610,355465,Torre de Pedra,0,0,0
611,355470,Torrinha,0,0,0
612,355475,Trabiju,0,0,0
613,355480,Tremembé,0,0,0
614,355490,Três Fronteiras,0,0,0
615,355495,Tuiuti,0,0,0
616,355500,Tupã,0,0,0
617,355510,Tupi Paulista,0,0,0
618,355520,Turiúba,0,0,0
619,355530,Turmalina,0,0,0
620,355535,Ubarana,0,0,0
621,355540,Ubatuba,0,1,0
622,355550,Ubirajara,0,0,0
623,355560,Uchoa,0,0,0
624,355570,União Paulista,0,0,0
625,355580,Urânia,0,0,0
626,355590,Uru,0,0,0
627,355600,Urupês,0,0,0
628,355610,Valentim Gentil,0,0,0
629,355620,Valinhos,0,0,0
630,355630,Valparaíso,0,0,0
631,355635,Vargem,0,0,0
632,355640,Vargem Grande do Sul,0,0,0
633,355645,Vargem Grande Paulista,0,0,0
634,355650,Várzea Paulista,0,0,0
635,355660,Vera Cruz,0,0,0
636,355670,Vinhedo,0,0,0
637,355680,Viradouro,0,0,0
638,355690,Vista Alegre do Alto,0,0,0
639,355695,Vitória Brasil,0,0,0
640,355700,Votorantim,0,0,0
641,355710,Votuporanga,0,0,0
642,355715,Zacarias,0,0,0
643,355720,Chavantes,0,0,0
644,355730,Estiva Gerbi,0,0,0
